W_GEOCODE,A2002,A2003,A2004,A2005,A2006,A2007,A2008,A2009,A2010,A2011
390351011011000,2,2,1,1,1,1,2,1,1,1
390351011011001,2,3,3,4,0,4,2,1,2,2
390351011011003,8,10,11,9,0,0,0,0,0,0
390351011011004,91,88,89,87,90,96,86,80,91,91
390351011012000,0,0,0,0,0,1,0,1,0,0
390351011012003,0,0,0,0,0,0,0,1,0,0
390351011012004,1,3,3,2,2,8,7,7,9,7
390351011021001,20,27,8,5,5,3,4,7,7,10
390351011021002,2,2,3,4,1,2,1,2,2,2
390351011021003,24,0,0,0,0,0,0,0,0,2
390351011021005,8,1,0,0,0,1,0,1,1,0
390351011021006,17,19,16,19,24,21,20,19,18,6
390351011021007,4,3,3,3,3,5,5,4,4,4
390351011021008,1,2,1,1,2,1,1,0,0,0
390351011021009,7,3,3,2,2,1,1,1,1,0
390351011021010,60,38,38,36,24,30,26,26,22,27
390351011021011,0,0,0,0,0,0,9,28,20,27
390351011021012,87,93,88,91,77,72,69,90,67,61
390351011021013,33,40,45,34,38,43,39,35,23,19
390351011021014,19,18,30,22,15,17,12,8,7,0
390351011021015,20,21,20,17,15,11,14,14,6,8
390351011021016,58,57,67,66,64,85,80,79,75,70
390351011021017,3,2,4,10,9,11,7,8,8,7
390351011021018,69,82,64,62,66,65,25,21,19,25
390351011022001,93,52,56,55,53,58,57,53,69,33
390351011022002,0,0,3,6,1,0,0,0,0,5
390351011022004,3,3,5,1,0,0,0,0,0,0
390351011022005,0,0,0,0,0,0,0,2,3,4
390351011022006,48,50,51,42,41,48,41,42,40,58
390351011022008,0,0,0,1,1,0,0,0,0,0
390351011023000,17,20,0,19,0,3,0,0,0,0
390351011023002,0,2,2,1,1,0,0,0,0,0
390351011023006,0,0,0,0,0,0,0,0,0,1
390351012001003,48,0,0,0,0,0,1,0,0,0
390351012001004,1,2,0,2,0,0,2,0,1,0
390351012001007,1,2,4,17,14,4,0,0,0,11
390351012001009,6,4,6,4,4,5,5,5,3,7
390351012001013,82,90,117,176,149,171,146,42,33,41
390351012001014,13,11,3,3,15,22,11,19,11,8
390351012001015,76,93,160,150,170,190,187,193,204,100
390351012001016,98,75,89,90,88,90,83,57,99,103
390351012001017,61,75,78,79,84,67,56,59,57,72
390351012002000,214,171,170,181,195,191,160,166,129,197
390351012002001,1,0,0,0,0,0,2,0,0,0
390351012002002,5,3,3,0,0,1,0,0,1,15
390351012002003,63,58,44,58,50,44,53,34,44,33
390351012002004,65,58,55,52,67,69,62,41,46,22
390351012002007,0,0,0,0,0,0,0,0,21,25
390351012002008,33,29,32,37,37,36,35,25,17,26
390351012002009,13,18,0,0,37,45,43,40,47,61
390351012002010,2,1,3,1,1,1,1,4,4,3
390351012002011,19,11,16,12,13,13,12,13,10,9
390351012002012,16,16,18,16,16,45,54,60,82,80
390351013001001,36,39,62,61,49,49,6,5,0,1
390351013001002,0,0,0,6,0,0,0,1,1,1
390351013001003,3,2,0,0,0,0,2,0,0,0
390351013001004,9,11,2,5,4,4,4,3,0,0
390351013001005,6,5,1,2,0,0,2,5,4,3
390351013001006,78,71,91,97,94,95,89,106,121,133
390351013001007,223,229,281,284,260,275,291,292,309,316
390351013001008,24,33,11,11,10,12,10,15,10,11
390351013001009,0,3,4,3,1,3,6,2,4,4
390351013001010,13,14,19,14,11,7,10,10,12,12
390351013001011,8,9,9,58,85,69,66,64,73,54
390351013001012,79,86,82,85,61,77,107,103,277,26
390351013001013,31,21,26,37,17,26,35,38,85,588
390351013001014,29,23,26,21,22,30,32,24,75,57
390351013001015,319,296,222,230,261,210,135,119,170,32
390351013001016,11,15,19,18,14,19,19,12,7,0
390351013001017,322,300,296,279,281,272,272,192,225,234
390351013001018,26,38,39,26,26,28,30,22,15,20
390351013001021,104,123,134,77,118,131,130,78,76,71
390351013001022,42,42,45,49,43,42,0,22,17,16
390351014001000,186,215,191,206,188,197,211,140,121,43
390351014001001,50,24,25,2,31,28,22,24,21,28
390351014001002,430,319,21,30,27,47,46,46,38,45
390351014001003,203,214,188,172,175,173,186,143,139,148
390351014001004,10,11,1,2,0,0,0,0,0,0
390351014001005,59,60,53,41,37,96,94,46,90,40
390351014001006,498,587,421,364,382,260,283,283,203,229
390351014001007,42,165,133,129,157,181,192,122,103,106
390351014001008,10,17,11,24,12,8,6,4,4,7
390351014001010,0,1,0,0,0,0,0,0,15,18
390351014001012,1,0,0,1,2,2,2,1,1,1
390351014001014,15,27,21,28,23,25,24,22,17,29
390351014002000,0,0,9,8,12,13,12,13,15,23
390351014002001,2,2,4,2,2,3,4,4,1,1
390351014002002,382,390,387,372,353,361,346,308,303,271
390351014002003,226,228,223,238,255,255,268,269,272,227
390351014002005,14,15,13,15,16,18,16,21,7,0
390351014002010,54,47,43,47,40,41,43,37,33,36
390351014002011,0,1,0,0,0,0,0,0,0,0
390351014002012,32,24,24,22,21,20,18,16,3,0
390351014002013,29,21,22,20,18,25,32,29,30,31
390351014002015,10,6,6,8,7,5,10,6,8,20
390351014002016,171,187,64,278,251,17,30,25,24,24
390351014002017,14,11,5,10,2,8,8,7,0,3
390351015011000,29,26,29,26,31,33,32,41,36,42
390351015011002,0,0,0,0,0,0,0,0,14,98
390351015011003,9,5,4,4,3,15,4,3,11,8
390351015011004,233,219,223,224,210,162,52,43,40,36
390351015011005,3,3,4,3,2,3,3,3,3,3
390351015011007,2,2,1,1,1,3,2,1,1,1
390351015011012,2,4,1,2,0,0,0,2,2,49
390351015011013,0,0,0,0,0,0,0,0,47,0
390351016031003,1,3,1,10,14,27,27,0,0,0
390351016031004,10,20,15,13,11,11,15,20,21,19
390351016031008,2,8,4,5,10,4,4,0,0,0
390351016031009,12,9,11,9,13,7,10,4,7,8
390351016031012,5,6,4,7,2,3,1,0,0,0
390351016031014,17,11,0,0,8,7,14,17,14,19
390351016031015,0,20,26,17,21,17,15,5,3,7
390351016031016,7,5,8,6,8,6,8,8,6,5
390351016031017,1,1,70,62,55,36,38,38,60,89
390351016031019,12,6,6,6,5,32,31,30,33,26
390351016032000,21,16,18,16,15,15,17,16,13,20
390351016032002,6,6,4,4,8,3,5,7,7,8
390351016033000,7,3,3,2,2,2,2,3,3,5
390351016033002,172,186,169,181,182,193,255,138,163,117
390351016033007,0,0,0,0,0,0,0,1,0,0
390351016034000,3,0,0,0,0,0,0,0,0,0
390351016034002,24,21,7,1,0,0,0,0,0,0
390351017001000,21,18,23,19,22,17,49,38,41,49
390351017001002,104,110,109,91,94,106,88,87,86,92
390351017001003,0,0,0,0,0,0,0,0,0,6
390351017001006,137,137,164,178,205,195,140,123,203,353
390351017001007,5,6,4,2,2,2,2,6,5,5
390351017001008,20,17,19,17,17,21,19,20,26,43
390351017002001,7,2,0,0,0,0,0,0,0,0
390351017002002,0,1,1,0,0,0,0,0,0,0
390351017002003,3,7,4,4,5,2,5,3,3,5
390351017002004,2,2,0,0,0,0,0,0,0,1
390351017002005,0,0,0,0,0,0,0,0,1,2
390351017002008,0,0,0,5,11,23,28,28,38,40
390351017002010,0,0,0,0,0,0,0,0,1,1
390351017003002,6,5,2,3,2,1,0,0,0,0
390351017003003,0,0,1,2,0,0,0,0,0,0
390351017003007,51,57,53,46,39,38,38,41,34,30
390351017003009,0,5,7,9,9,15,14,15,19,23
390351017003010,10,10,10,11,8,7,0,0,0,0
390351017003012,2,2,1,1,2,2,2,1,1,3
390351017003013,0,0,0,0,0,0,0,0,18,0
390351018001000,86,89,89,75,75,80,77,58,64,73
390351018001001,1,0,0,0,0,0,0,0,0,0
390351018001002,527,672,466,535,949,801,707,657,657,753
390351018001004,216,216,215,172,175,155,144,131,97,94
390351018001005,0,1,1,1,2,8,13,12,0,0
390351018001006,4,7,9,8,3,2,5,11,11,11
390351018001010,217,300,308,306,252,248,190,16,14,9
390351018001011,52,75,64,72,74,80,78,85,99,110
390351018001012,0,0,0,0,0,0,0,1,1,2
390351018001013,2,17,14,0,0,4,2,0,0,0
390351018002000,17,13,19,15,5,5,0,1,0,0
390351018002001,35,28,23,6,19,12,7,242,6,1
390351018002003,15,0,0,0,0,0,0,0,0,0
390351018002004,5,5,4,5,5,5,6,5,4,4
390351018002005,4,4,3,4,3,7,3,8,5,7
390351018002009,12,15,16,9,10,6,9,0,0,0
390351018002010,23,24,25,30,28,32,32,31,38,38
390351018002011,11,8,6,8,7,14,10,14,17,19
390351018002012,5,8,5,6,6,4,5,9,5,6
390351018003001,9,0,0,0,0,0,0,0,0,0
390351018003002,0,0,0,0,0,0,0,1,0,0
390351018003003,23,23,23,26,22,23,24,0,0,0
390351018003006,0,0,0,2,0,0,0,0,0,0
390351018003009,5,0,0,0,0,0,0,0,0,0
390351018003011,0,0,0,0,0,0,0,3,0,0
390351019011000,24,25,25,27,19,19,62,61,57,59
390351019011001,153,163,165,133,127,144,115,121,138,154
390351019011002,0,0,0,0,0,0,0,1,1,1
390351019011005,7,3,0,0,0,0,0,0,0,0
390351019012000,0,0,5,4,3,4,4,3,6,6
390351019012001,43,42,44,44,9,4,3,5,5,1
390351019012002,108,109,79,90,97,89,90,77,70,76
390351019012003,24,0,1,2,0,0,0,0,0,0
390351019012004,2,5,5,4,4,4,3,5,1,4
390351019012006,14,6,0,0,2,0,0,2,1,1
390351019012012,10,10,13,11,11,9,9,9,11,13
390351019012013,12,11,15,11,0,15,15,15,11,10
390351019012014,9,13,11,10,9,11,8,8,6,8
390351019012015,14,11,11,11,11,10,10,8,11,12
390351019012016,98,103,99,89,90,101,188,89,134,180
390351021011000,62,46,63,52,54,61,50,45,43,37
390351021011001,20,17,19,8,7,9,8,5,6,6
390351021011002,19,18,15,9,20,21,23,18,12,6
390351021011003,115,134,116,91,96,80,86,95,71,64
390351021011004,53,61,63,51,47,51,38,53,47,32
390351021011005,0,0,0,0,0,0,0,0,0,1
390351021011006,3,1,3,1,0,0,0,1,0,1
390351021012001,2,0,1,0,1,0,0,0,0,0
390351021012003,21,17,12,14,8,9,10,2,3,3
390351021012004,103,111,108,84,81,91,73,75,93,114
390351021012005,0,17,9,13,4,4,6,3,3,2
390351021013000,0,0,0,0,3,3,1,0,0,0
390351021013001,1,0,0,0,0,0,0,0,3,4
390351021013002,114,60,32,35,28,8,72,25,18,15
390351021013003,2,3,3,3,5,2,3,3,2,1
390351021013004,5,3,5,4,4,6,1,4,2,0
390351021013005,1,2,1,0,0,0,0,0,0,0
390351021013006,8,8,7,6,8,8,8,4,4,5
390351021013007,1,0,0,0,0,0,0,0,0,0
390351021021000,40,33,14,13,10,13,12,15,12,11
390351021021001,0,6,5,3,4,2,2,3,0,0
390351021021003,10,22,11,9,2,3,4,3,7,4
390351021021004,58,61,59,49,52,58,49,51,60,57
390351021022000,0,0,1,2,1,0,0,1,1,1
390351021022001,16,3,0,1,1,2,1,0,0,0
390351021022002,0,0,11,1,1,1,0,0,0,0
390351021022004,17,0,1,1,1,2,1,0,0,0
390351021022006,16,12,13,7,9,7,0,2,1,5
390351021022007,8,9,11,3,0,3,1,1,2,2
390351021022009,9,7,5,4,2,2,2,5,0,0
390351021022010,8,8,10,13,26,38,34,18,20,49
390351021022011,7,9,7,6,5,7,2,3,3,11
390351021022016,13,21,19,13,0,0,0,0,0,0
390351021022018,131,112,114,105,104,116,89,67,59,67
390351022001000,17,19,22,21,24,23,21,22,23,21
390351022001001,228,195,18,20,18,19,43,44,41,9
390351022001002,15,18,18,16,19,17,17,19,14,16
390351022001003,0,0,2,0,0,0,0,0,0,0
390351022001004,3,3,2,1,2,2,1,2,2,2
390351022001005,0,0,2,1,2,1,2,1,0,0
390351022001010,3,11,7,2,1,7,2,15,9,15
390351022002002,6,4,4,3,2,5,8,4,2,2
390351022002004,11,7,6,6,3,3,0,0,0,0
390351022002005,0,1,3,3,6,2,1,3,2,3
390351022002010,0,0,0,0,0,0,0,0,0,1
390351022003000,382,214,211,202,184,181,205,168,175,134
390351022003002,2,6,6,6,6,6,6,5,5,5
390351022003009,46,46,45,39,41,43,39,35,39,39
390351022003010,6,0,0,0,1,2,2,0,0,0
390351022003012,0,1,1,0,1,1,1,1,1,1
390351023001000,0,1,0,0,0,0,0,0,0,0
390351023001001,9,6,6,1,7,7,5,6,6,6
390351023001002,3,1,0,0,0,0,0,0,0,0
390351023001004,0,2,1,1,0,0,0,0,0,0
390351023001005,0,5,14,13,10,0,0,0,0,0
