,W_GEOCODE,A2002,A2003,A2004,A2005,A2006,A2007,A2008,A2009,A2010,A2011,A2012,A2013
0,390351011011000,2,2,1,1,1,1,2,1,1,1,1.0,1.0
1,390351011011001,2,3,3,4,0,4,2,1,2,2,2.0,1.0
2,390351011011003,8,10,11,9,0,0,0,0,0,0,0.0,0.0
3,390351011011004,91,88,89,87,90,96,86,80,91,91,86.0,92.0
4,390351011012000,0,0,0,0,0,1,0,1,0,0,0.0,0.0
5,390351011012003,0,0,0,0,0,0,0,1,0,0,0.0,0.0
6,390351011012004,1,3,3,2,2,8,7,7,9,7,8.0,11.0
7,390351011021001,20,27,8,5,5,3,4,7,7,10,4.0,11.0
8,390351011021002,2,2,3,4,1,2,1,2,2,2,2.0,3.0
9,390351011021003,24,0,0,0,0,0,0,0,0,2,3.0,3.0
10,390351011021005,8,1,0,0,0,1,0,1,1,0,0.0,0.0
11,390351011021006,17,19,16,19,24,21,20,19,18,6,4.0,4.0
12,390351011021007,4,3,3,3,3,5,5,4,4,4,4.0,5.0
13,390351011021008,1,2,1,1,2,1,1,0,0,0,0.0,0.0
14,390351011021009,7,3,3,2,2,1,1,1,1,0,0.0,0.0
15,390351011021010,60,38,38,36,24,30,26,26,22,27,32.0,30.0
16,390351011021011,0,0,0,0,0,0,9,28,20,27,30.0,0.0
17,390351011021012,87,93,88,91,77,72,69,90,67,61,58.0,51.0
18,390351011021013,33,40,45,34,38,43,39,35,23,19,19.0,29.0
19,390351011021014,19,18,30,22,15,17,12,8,7,0,0.0,0.0
20,390351011021015,20,21,20,17,15,11,14,14,6,8,7.0,8.0
21,390351011021016,58,57,67,66,64,85,80,79,75,70,87.0,71.0
22,390351011021017,3,2,4,10,9,11,7,8,8,7,5.0,6.0
23,390351011021018,69,82,64,62,66,65,25,21,19,25,25.0,20.0
24,390351011022001,93,52,56,55,53,58,57,53,69,33,31.0,36.0
25,390351011022002,0,0,3,6,1,0,0,0,0,5,6.0,6.0
26,390351011022004,3,3,5,1,0,0,0,0,0,0,0.0,0.0
27,390351011022005,0,0,0,0,0,0,0,2,3,4,3.0,3.0
28,390351011022006,48,50,51,42,41,48,41,42,40,58,48.0,47.0
29,390351011022008,0,0,0,1,1,0,0,0,0,0,0.0,0.0
30,390351011023000,17,20,0,19,0,3,0,0,0,0,6.0,6.0
31,390351011023002,0,2,2,1,1,0,0,0,0,0,0.0,0.0
32,390351011023006,0,0,0,0,0,0,0,0,0,1,1.0,1.0
